ip_dst,time(t-10),traffic(t-10),data_len(t-10),time(t-9),traffic(t-9),data_len(t-9),time(t-8),traffic(t-8),data_len(t-8),time(t-7),traffic(t-7),data_len(t-7),time(t-6),traffic(t-6),data_len(t-6),time(t-5),traffic(t-5),data_len(t-5),time(t-4),traffic(t-4),data_len(t-4),time(t-3),traffic(t-3),data_len(t-3),time(t-2),traffic(t-2),data_len(t-2),time(t-1),traffic(t-1),data_len(t-1),time(t),traffic(t),data_len(t)
192.168.1.149,2019/04/08 23:14:26,8.0,1755.0,2019/04/08 23:14:31,1.0,39.0,2019/04/08 23:14:52,1.0,52.0,2019/04/08 23:14:56,2.0,206.0,2019/04/08 23:14:57,1.0,148.0,2019/04/08 23:15:08,1.0,46.0,2019/04/08 23:15:11,5.0,570.0,2019/04/08 23:15:18,1.0,52.0,2019/04/08 23:15:24,1.0,46.0,2019/04/08 23:15:30,1.0,39.0,2019/04/08 23:15:43,1,52
192.168.1.149,2019/04/08 23:14:31,1.0,39.0,2019/04/08 23:14:52,1.0,52.0,2019/04/08 23:14:56,2.0,206.0,2019/04/08 23:14:57,1.0,148.0,2019/04/08 23:15:08,1.0,46.0,2019/04/08 23:15:11,5.0,570.0,2019/04/08 23:15:18,1.0,52.0,2019/04/08 23:15:24,1.0,46.0,2019/04/08 23:15:30,1.0,39.0,2019/04/08 23:15:43,1.0,52.0,2019/04/08 23:16:09,1,46
192.168.1.149,2019/04/08 23:14:52,1.0,52.0,2019/04/08 23:14:56,2.0,206.0,2019/04/08 23:14:57,1.0,148.0,2019/04/08 23:15:08,1.0,46.0,2019/04/08 23:15:11,5.0,570.0,2019/04/08 23:15:18,1.0,52.0,2019/04/08 23:15:24,1.0,46.0,2019/04/08 23:15:30,1.0,39.0,2019/04/08 23:15:43,1.0,52.0,2019/04/08 23:16:09,1.0,46.0,2019/04/08 23:16:11,1,52
192.168.1.149,2019/04/08 23:14:56,2.0,206.0,2019/04/08 23:14:57,1.0,148.0,2019/04/08 23:15:08,1.0,46.0,2019/04/08 23:15:11,5.0,570.0,2019/04/08 23:15:18,1.0,52.0,2019/04/08 23:15:24,1.0,46.0,2019/04/08 23:15:30,1.0,39.0,2019/04/08 23:15:43,1.0,52.0,2019/04/08 23:16:09,1.0,46.0,2019/04/08 23:16:11,1.0,52.0,2019/04/08 23:16:23,1,46
192.168.1.149,2019/04/08 22:52:33,1.0,59.0,2019/04/08 22:52:48,1.0,31.0,2019/04/08 22:53:02,5.0,417.0,2019/04/08 22:53:29,1.0,59.0,2019/04/08 22:53:56,5.0,765.0,2019/04/08 22:53:57,2.0,274.0,2019/04/08 22:54:23,1.0,59.0,2019/04/08 22:54:31,8.0,1954.0,2019/04/08 22:54:48,3.0,143.0,2019/04/08 22:54:49,2.0,274.0,2019/04/08 22:54:56,1,55
192.168.1.149,2019/04/08 22:52:48,1.0,31.0,2019/04/08 22:53:02,5.0,417.0,2019/04/08 22:53:29,1.0,59.0,2019/04/08 22:53:56,5.0,765.0,2019/04/08 22:53:57,2.0,274.0,2019/04/08 22:54:23,1.0,59.0,2019/04/08 22:54:31,8.0,1954.0,2019/04/08 22:54:48,3.0,143.0,2019/04/08 22:54:49,2.0,274.0,2019/04/08 22:54:56,1.0,55.0,2019/04/08 22:54:57,1,148
192.168.1.149,2019/04/08 22:53:02,5.0,417.0,2019/04/08 22:53:29,1.0,59.0,2019/04/08 22:53:56,5.0,765.0,2019/04/08 22:53:57,2.0,274.0,2019/04/08 22:54:23,1.0,59.0,2019/04/08 22:54:31,8.0,1954.0,2019/04/08 22:54:48,3.0,143.0,2019/04/08 22:54:49,2.0,274.0,2019/04/08 22:54:56,1.0,55.0,2019/04/08 22:54:57,1.0,148.0,2019/04/08 22:55:08,1,56
192.168.1.149,2019/04/08 22:53:29,1.0,59.0,2019/04/08 22:53:56,5.0,765.0,2019/04/08 22:53:57,2.0,274.0,2019/04/08 22:54:23,1.0,59.0,2019/04/08 22:54:31,8.0,1954.0,2019/04/08 22:54:48,3.0,143.0,2019/04/08 22:54:49,2.0,274.0,2019/04/08 22:54:56,1.0,55.0,2019/04/08 22:54:57,1.0,148.0,2019/04/08 22:55:08,1.0,56.0,2019/04/08 22:55:15,1,59
192.168.1.149,2019/04/08 22:53:56,5.0,765.0,2019/04/08 22:53:57,2.0,274.0,2019/04/08 22:54:23,1.0,59.0,2019/04/08 22:54:31,8.0,1954.0,2019/04/08 22:54:48,3.0,143.0,2019/04/08 22:54:49,2.0,274.0,2019/04/08 22:54:56,1.0,55.0,2019/04/08 22:54:57,1.0,148.0,2019/04/08 22:55:08,1.0,56.0,2019/04/08 22:55:15,1.0,59.0,2019/04/08 22:55:30,1,46
192.168.1.149,2019/04/08 22:53:57,2.0,274.0,2019/04/08 22:54:23,1.0,59.0,2019/04/08 22:54:31,8.0,1954.0,2019/04/08 22:54:48,3.0,143.0,2019/04/08 22:54:49,2.0,274.0,2019/04/08 22:54:56,1.0,55.0,2019/04/08 22:54:57,1.0,148.0,2019/04/08 22:55:08,1.0,56.0,2019/04/08 22:55:15,1.0,59.0,2019/04/08 22:55:30,1.0,46.0,2019/04/08 22:55:42,5,417
